ID,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Latitude,Longitude,Facility Type,total_pop_ev,County_ev,ST_ev,STATE_ev,STCNTY_ev,COUNTY_ev,FIPS_ev,SVI_ev,Area_km2_ev,PopDens_ev,PD_log_ev,geometry,index_tracts,total_pop_tracts,County_tracts,ST_tracts,STATE_tracts,STCNTY_tracts,COUNTY_tracts,FIPS_tracts,SVI_tracts,Area_km2_tracts,PopDens_tracts,PD_log_tracts
156354,ELEC,DURHAM COUNTY SLIB RIGHT,Durham,NC,27713,E,35.90196,-78.887922,,7272,Durham,37,NORTH CAROLINA,37063,Durham,37063002027,0.6076,16.65828146035291,436.53962849094165,6.078879158079602,POINT (690605.5001328621 3975135.1103246836),54,7272,Durham,37,NORTH CAROLINA,37063,Durham,37063002027,0.6076,16.65828146035291,436.53962849094165,6.078879158079602
148553,ELEC,Bob Barker Company,Fuquay Varina,NC,27526,T,35.586162,-78.79956,,8267,Wake,37,NORTH CAROLINA,37183,Wake,37183053107,0.4095,23.70446156027976,348.7529121459797,5.854363683340081,POINT (699367.3385986726 3940277.811012558),152,8267,Wake,37,NORTH CAROLINA,37183,Wake,37183053107,0.4095,23.70446156027976,348.7529121459797,5.854363683340081
149667,ELEC,BLOC83 TOWER 1 STATION 1,Raleigh,NC,27603,E,35.780115,-78.648556,,1798,Wake,37,NORTH CAROLINA,37183,Wake,37183051000,0.3119,0.9734699408604013,1847.0010470080235,7.52131854706861,POINT (712535.8480638791 3962111.214797041),96,1798,Wake,37,NORTH CAROLINA,37183,Wake,37183051000,0.3119,0.9734699408604013,1847.0010470080235,7.52131854706861
152416,ELEC,NC STATE COLISEUM 01,Raleigh,NC,27606,E,35.782117,-78.667907,,4255,Wake,37,NORTH CAROLINA,37183,Wake,37183051102,0.3693,1.7393098924335413,2446.372563342724,7.802361619996932,POINT (710781.2052150314 3962291.489240916),98,4255,Wake,37,NORTH CAROLINA,37183,Wake,37183051102,0.3693,1.7393098924335413,2446.372563342724,7.802361619996932
153454,ELEC,Parkside Town Commons - Tesla Supercharger,Cary,NC,27519,E,35.84359,-78.886368,,5009,Wake,37,NORTH CAROLINA,37183,Wake,37183053602,0.1698,12.38732286023872,404.36501546900587,6.002317973683575,POINT (690885.8030215383 3968662.804342472),200,5009,Wake,37,NORTH CAROLINA,37183,Wake,37183053602,0.1698,12.38732286023872,404.36501546900587,6.002317973683575
155208,ELEC,McDonald's Store #27548,Cary,NC,27518,E,35.704118,-78.795636,,4603,Wake,37,NORTH CAROLINA,37183,Wake,37183053405,0.0782,8.003155081386344,575.1481700892701,6.354627694713503,POINT (699429.3908488492 3953371.1716682124),164,4603,Wake,37,NORTH CAROLINA,37183,Wake,37183053405,0.0782,8.003155081386344,575.1481700892701,6.354627694713503
158454,ELEC,Orange County - Motor Pool Fueling Station,Hillsborough,NC,27278,E,36.092325,-79.106383,MUNI_GOV,8028,Orange,37,NORTH CAROLINA,37135,Orange,37135011101,0.6215,74.28002486794298,108.07750824360106,4.682848638645256,POINT (670477.6283577972 3995848.6137190354),70,8028,Orange,37,NORTH CAROLINA,37135,Orange,37135011101,0.6215,74.28002486794298,108.07750824360106,4.682848638645256
164031,ELEC,3800 GLENWOOD STATION 1,Raleigh,NC,27612,E,35.831954,-78.66663,,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928,POINT (710764.8361169016 3967823.170642792),104,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928
180722,ELEC,3800 GLENWOOD STATION 3,Raleigh,NC,27612,E,35.831995,-78.66662,,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928,POINT (710765.6310363665 3967827.7407612964),104,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928
180723,ELEC,3800 GLENWOOD STATION 2,Raleigh,NC,27612,E,35.83196,-78.666666,,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928,POINT (710761.567919392 3967823.7587062893),104,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928
180724,ELEC,3800 GLENWOOD STATION 4,Raleigh,NC,27612,E,35.83197,-78.666625,,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928,POINT (710765.2454855596 3967824.9564689407),104,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928
190916,ELEC,Camden Carolinian,Raleigh,NC,27608,E,35.81717,-78.659529,,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928,POINT (711445.5931040428 3966198.3488241616),104,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928
206011,ELEC,Sojourn Glenwood Place,Raleigh,NC,27612,E,35.8324264,-78.6649049,,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928,POINT (710919.4343980859 3967879.2980695595),104,3215,Wake,37,NORTH CAROLINA,37183,Wake,37183051700,0.012,4.909736208500182,654.821331222215,6.484362421664928
164525,ELEC,MINI OF RALEIGH CUST SERVICE,Raleigh,NC,27616,E,35.86181,-78.579836,,2169,Wake,37,NORTH CAROLINA,37183,Wake,37183054015,0.5002,4.792052027641375,452.624468075229,6.1150627928854,POINT (718524.09067618 3971326.017112351),243,2169,Wake,37,NORTH CAROLINA,37183,Wake,37183054015,0.5002,4.792052027641375,452.624468075229,6.1150627928854
213878,ELEC,THE PIEDMONT BLDG 7,Raleigh,NC,27616,E,35.86823,-78.569286,,2169,Wake,37,NORTH CAROLINA,37183,Wake,37183054015,0.5002,4.792052027641375,452.624468075229,6.1150627928854,POINT (719459.1489988745 3972061.917901101),243,2169,Wake,37,NORTH CAROLINA,37183,Wake,37183054015,0.5002,4.792052027641375,452.624468075229,6.1150627928854
167101,ELEC,UNC Rex Healthcare Parking Deck,Raleigh,NC,27607,E,35.816952,-78.70409,HOSPITAL,5439,Wake,37,NORTH CAROLINA,37183,Wake,37183052504,0.4729,5.921416112502288,918.5302800315401,6.822774870939811,POINT (707419.6869493471 3966078.7756516943),120,5439,Wake,37,NORTH CAROLINA,37183,Wake,37183052504,0.4729,5.921416112502288,918.5302800315401,6.822774870939811
